Name,Technology,Perfect,Resources,Alien,Aquarium,Aruldite,Bethlium,Bone,Herbirite,Maamite,Moonlite,Moron,Onion,Paladium,Parasite,Planetarium,Rock,Slate,Solarium,Tedium,Valium,Wood,Yeridium
27,Sling,FALSE,"((""Bone"", 0.5),(""Rock"", 0.5))",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
28,Sling,FALSE,"((""Onion"", 0.5),(""Rock"", 0.5))",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0
29,Sling,FALSE,"((""Rock"", 0.5),(""Slate"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
30,Sling,FALSE,"((""Bone"", 0.5),(""Herbirite"", 0.5))",0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sling,FALSE,"((""Bone"", 0.5),(""Moonlite"", 0.5))",0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
32,Sling,FALSE,"((""Bone"", 0.5),(""Wood"", 0.5))",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
33,Sling,TRUE,"((""Solarium"", 0.5),(""Wood"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0
34,Sling,TRUE,"((""Bone"", 0.5),(""Solarium"", 0.5))",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
35,Sling,TRUE,"((""Aruldite"", 0.5),(""Rock"", 0.5))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
36,Sling,FALSE,"((""Aruldite"", 0.5),(""Slate"", 0.5))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
37,Sling,FALSE,"((""Bone"", 0.5),(""Valium"", 0.5))",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
38,Sling,FALSE,"((""Solarium"", 0.5),(""Valium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0
39,Sling,FALSE,"((""Aquarium"", 0.5),(""Wood"", 0.5))",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
40,Sling,FALSE,"((""Aquarium"", 0.5),(""Solarium"", 0.5))",0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
41,Sling,FALSE,"((""Planetarium"", 0.5),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
42,Sling,FALSE,"((""Aruldite"", 0.5),(""Solarium"", 0.5))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
43,Pike,FALSE,"((""Slate"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
44,Pike,TRUE,"((""Bethlium"", 1),(""Moonlite"", 0.5))",0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
45,Pike,TRUE,"((""Moonlite"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0
46,Pike,FALSE,"((""Moonlite"", 1),(""Slate"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0
47,Pike,FALSE,"((""Rock"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0
48,Pike,FALSE,"((""Moonlite"", 0.5),(""Parasite"", 1))",0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0
49,Pike,FALSE,"((""Moonlite"", 1),(""Wood"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0
50,Pike,FALSE,"((""Bethlium"", 0.5),(""Wood"", 1))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,Pike,TRUE,"((""Planetarium"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0
52,Pike,TRUE,"((""Aruldite"", 0.5),(""Planetarium"", 1))",0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Pike,TRUE,"((""Aruldite"", 0.5),(""Moonlite"", 1))",0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,Pike,TRUE,"((""Aruldite"", 0.5),(""Slate"", 1))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,Pike,FALSE,"((""Aruldite"", 1),(""Solarium"", 0.5))",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
56,Pike,FALSE,"((""Aquarium"", 1),(""Aruldite"", 0.5))",0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Pike,FALSE,"((""Aruldite"", 1.5))",0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Pike,FALSE,"((""Moonlite"", 1.5))",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
59,Pike,FALSE,"((""Bone"", 0.5),(""Planetarium"", 1))",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,Pike,FALSE,"((""Planetarium"", 0.5),(""Slate"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0
61,Pike,FALSE,"((""Bone"", 0.5),(""Moonlite"", 1))",0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Pike,FALSE,"((""Bethlium"", 0.5),(""Valium"", 1))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,Pike,FALSE,"((""Solarium"", 0.5),(""Valium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
64,Pike,FALSE,"((""Moonlite"", 1),(""Valium"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0
65,Pike,TRUE,"((""Bethlium"", 0.5),(""Slate"", 1))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,Pike,TRUE,"((""Slate"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0
67,Pike,FALSE,"((""Bone"", 1),(""Solarium"", 0.5))",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
68,Pike,TRUE,"((""Planetarium"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0
69,Pike,FALSE,"((""Bethlium"", 1.5))",0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Pike,FALSE,"((""Solarium"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
71,Pike,FALSE,"((""Bethlium"", 0.5),(""Parasite"", 1))",0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,Pike,FALSE,"((""Planetarium"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
73,Pike,FALSE,"((""Onion"", 0.5),(""Slate"", 1))",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0
74,Pike,FALSE,"((""Onion"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0
75,Pike,FALSE,"((""Moonlite"", 1),(""Onion"", 0.5))",0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0
76,Pike,FALSE,"((""Solarium"", 0.5),(""Tedium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
77,Pike,FALSE,"((""Aquarium"", 1),(""Bethlium"", 0.5))",0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Pike,FALSE,"((""Aquarium"", 0.5),(""Moonlite"", 1))",0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,Pike,FALSE,"((""Moonlite"", 1),(""Planetarium"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0
80,Pike,FALSE,"((""Bethlium"", 0.5),(""Herbirite"", 1))",0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Pike,FALSE,"((""Bethlium"", 0.5),(""Bone"", 1))",0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Longbow,FALSE,"((""Bethlium"", 0.5),(""Moonlite"", 1.5))",0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
83,Longbow,FALSE,"((""Bethlium"", 1),(""Moonlite"", 1))",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,Longbow,FALSE,"((""Aruldite"", 2))",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Longbow,FALSE,"((""Aruldite"", 0.5),(""Slate"", 1.5))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
86,Longbow,FALSE,"((""Aruldite"", 1),(""Moonlite"", 1))",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,Longbow,FALSE,"((""Planetarium"", 1),(""Solarium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,Longbow,FALSE,"((""Planetarium"", 1.5),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0
89,Longbow,FALSE,"((""Aruldite"", 1),(""Planetarium"", 1))",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,Longbow,FALSE,"((""Herbirite"", 0.5),(""Planetarium"", 1.5))",0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0
91,Longbow,FALSE,"((""Bethlium"", 1),(""Slate"", 1))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,Longbow,FALSE,"((""Bethlium"", 0.5),(""Parasite"", 0.5),(""Slate"", 1))",0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0
93,Longbow,FALSE,"((""Bethlium"", 0.5),(""Moonlite"", 1),(""Parasite"", 0.5))",0,0,0,0.5,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0
94,Longbow,FALSE,"((""Bethlium"", 0.5),(""Herbirite"", 1.5))",0,0,0,0.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Longbow,FALSE,"((""Bethlium"", 1.5),(""Herbirite"", 0.5))",0,0,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Longbow,FALSE,"((""Bethlium"", 0.5),(""Herbirite"", 0.5),(""Parasite"", 1))",0,0,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,Longbow,FALSE,"((""Parasite"", 0.5),(""Planetarium"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0
98,Longbow,TRUE,"((""Bethlium"", 0.5),(""Slate"", 1),(""Yeridium"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5
99,Longbow,FALSE,"((""Parasite"", 0.5),(""Slate"", 1),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.5
100,Longbow,FALSE,"((""Moonlite"", 1),(""Solarium"", 1))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
101,Longbow,FALSE,"((""Slate"", 1),(""Solarium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
102,Longbow,FALSE,"((""Slate"", 1),(""Solarium"", 0.5),(""Wood"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5,0
103,Longbow,FALSE,"((""Planetarium"", 1),(""Solarium"", 0.5),(""Wood"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.5,0
104,Longbow,FALSE,"((""Bone"", 0.5),(""Planetarium"", 1),(""Solarium"", 0.5))",0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0
105,Longbow,FALSE,"((""Bone"", 0.5),(""Moonlite"", 1),(""Solarium"", 0.5))",0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0
106,Longbow,FALSE,"((""Rock"", 0.5),(""Slate"", 1),(""Solarium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0
107,Longbow,FALSE,"((""Aruldite"", 0.5),(""Rock"", 0.5),(""Slate"", 1))",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0
108,Longbow,FALSE,"((""Aruldite"", 0.5),(""Moonlite"", 1),(""Rock"", 0.5))",0,0,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0
109,Longbow,FALSE,"((""Bethlium"", 0.5),(""Moonlite"", 1),(""Wood"", 0.5))",0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0
110,Longbow,FALSE,"((""Bethlium"", 0.5),(""Yeridium"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
111,Longbow,FALSE,"((""Bethlium"", 1.5),(""Yeridium"", 0.5))",0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
112,Longbow,FALSE,"((""Bethlium"", 0.5),(""Yeridium"", 1.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
113,Longbow,FALSE,"((""Moonlite"", 1),(""Yeridium"", 1))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
114,Longbow,FALSE,"((""Moonlite"", 1.5),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5
115,Longbow,FALSE,"((""Aquarium"", 1.5),(""Bethlium"", 0.5))",0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Longbow,FALSE,"((""Herbirite"", 0.5),(""Slate"", 1),(""Wood"", 0.5))",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0
117,Longbow,FALSE,"((""Aruldite"", 0.5),(""Herbirite"", 0.5),(""Rock"", 1))",0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,Longbow,FALSE,"((""Herbirite"", 1.5),(""Solarium"", 0.5))",0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
119,Longbow,FALSE,"((""Herbirite"", 1),(""Slate"", 1))",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,Longbow,FALSE,"((""Slate"", 1),(""Yeridium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
121,Longbow,FALSE,"((""Aruldite"", 0.5),(""Herbirite"", 0.5),(""Moron"", 1))",0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Longbow,FALSE,"((""Moonlite"", 1),(""Moron"", 0.5),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5
123,Longbow,FALSE,"((""Bethlium"", 0.5),(""Tedium"", 1),(""Yeridium"", 0.5))",0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5
124,Longbow,TRUE,"((""Bethlium"", 0.5),(""Moonlite"", 1),(""Yeridium"", 0.5))",0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5
125,Longbow,FALSE,"((""Aquarium"", 0.5),(""Moonlite"", 1),(""Yeridium"", 0.5))",0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5
126,Longbow,FALSE,"((""Planetarium"", 0.5),(""Wood"", 0.5),(""Yeridium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1
127,Longbow,FALSE,"((""Moonlite"", 1),(""Wood"", 0.5),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5
128,Longbow,FALSE,"((""Moonlite"", 1),(""Planetarium"", 0.5),(""Solarium"", 0.5))",0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0
129,Longbow,FALSE,"((""Planetarium"", 1.5),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.5
130,Catapult,FALSE,"((""Bethlium"", 1),(""Moonlite"", 3.5))",0,0,0,1,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
131,Catapult,FALSE,"((""Bethlium"", 1.5),(""Moonlite"", 3))",0,0,0,1.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
132,Catapult,FALSE,"((""Slate"", 3.5),(""Solarium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0
133,Catapult,FALSE,"((""Bethlium"", 1),(""Slate"", 3.5))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
134,Catapult,FALSE,"((""Aruldite"", 1.5),(""Slate"", 3))",0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
135,Catapult,FALSE,"((""Moonlite"", 3),(""Solarium"", 1.5))",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1.5,0,0,0,0
136,Catapult,FALSE,"((""Bethlium"", 1.5),(""Bone"", 0.5),(""Moonlite"", 2.5))",0,0,0,1.5,0.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0
137,Catapult,FALSE,"((""Bone"", 0.5),(""Planetarium"", 3),(""Solarium"", 1))",0,0,0,0,0.5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
138,Catapult,FALSE,"((""Aruldite"", 1.5),(""Planetarium"", 3))",0,0,1.5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
139,Catapult,FALSE,"((""Bethlium"", 1),(""Moron"", 3),(""Yeridium"", 0.5))",0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5
140,Catapult,FALSE,"((""Bethlium"", 1),(""Yeridium"", 3.5))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
141,Catapult,FALSE,"((""Solarium"", 1),(""Yeridium"", 3.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.5
142,Catapult,FALSE,"((""Bethlium"", 1),(""Valium"", 3),(""Yeridium"", 0.5))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.5
143,Catapult,FALSE,"((""Aruldite"", 1),(""Slate"", 3),(""Wood"", 0.5))",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0
144,Catapult,FALSE,"((""Herbirite"", 0.5),(""Slate"", 3),(""Wood"", 1))",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,1,0
145,Catapult,FALSE,"((""Solarium"", 1),(""Wood"", 3),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.5
146,Catapult,TRUE,"((""Bethlium"", 1),(""Slate"", 3),(""Yeridium"", 0.5))",0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5
147,Catapult,FALSE,"((""Aquarium"", 0.5),(""Aruldite"", 1),(""Slate"", 3))",0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
148,Catapult,FALSE,"((""Aruldite"", 1),(""Onion"", 0.5),(""Slate"", 3))",0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0
149,Catapult,FALSE,"((""Aruldite"", 1),(""Moonlite"", 3))",0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
150,Catapult,FALSE,"((""Aquarium"", 0.5),(""Aruldite"", 1),(""Moonlite"", 3))",0,0.5,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
151,Catapult,FALSE,"((""Aquarium"", 1),(""Moonlite"", 3),(""Yeridium"", 0.5))",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5
152,Catapult,FALSE,"((""Moonlite"", 3),(""Tedium"", 1),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0.5
153,Catapult,FALSE,"((""Parasite"", 1),(""Slate"", 3),(""Yeridium"", 0.5))",0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0.5
154,Catapult,FALSE,"((""Bethlium"", 1),(""Parasite"", 3),(""Yeridium"", 0.5))",0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5
155,Catapult,FALSE,"((""Herbirite"", 0.5),(""Slate"", 4))",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0
156,Catapult,FALSE,"((""Herbirite"", 1.5),(""Slate"", 3))",0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0
157,Catapult,FALSE,"((""Herbirite"", 0.5),(""Solarium"", 4))",0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0
158,Catapult,FALSE,"((""Aruldite"", 1),(""Herbirite"", 3.5))",0,0,1,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Catapult,FALSE,"((""Aruldite"", 4),(""Herbirite"", 0.5))",0,0,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Catapult,FALSE,"((""Herbirite"", 0.5),(""Planetarium"", 4))",0,0,0,0,0,0.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
161,Catapult,FALSE,"((""Herbirite"", 1.5),(""Planetarium"", 3))",0,0,0,0,0,1.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0
162,Catapult,FALSE,"((""Planetarium"", 3.5),(""Solarium"", 1))",0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,1,0,0,0,0
163,Catapult,FALSE,"((""Aruldite"", 0.5),(""Planetarium"", 3),(""Solarium"", 1))",0,0,0.5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
164,Catapult,FALSE,"((""Aruldite"", 0.5),(""Moonlite"", 3),(""Solarium"", 1))",0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
165,Catapult,FALSE,"((""Bethlium"", 4),(""Herbirite"", 0.5))",0,0,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Catapult,FALSE,"((""Herbirite"", 0.5),(""Moonlite"", 4))",0,0,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0
167,Catapult,FALSE,"((""Slate"", 3),(""Yeridium"", 1.5))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1.5
